"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Moesziomyces antarcticus"	"Fungi"	0	0	0	4	0	0	0	0
"Monomorium pharaonis"	"Arthropods"	0	0	0	0	0	4	0	0
"Morganella morganii"	"Bacteria"	0	0	0	0	0	0	0	6593
"Mucuna pruriens"	"Plants"	0	0	0	0	0	4639	0	0
"Musca domestica"	"Arthropods"	0	0	0	0	0	0	58	0
"Mycobacterium kansasii"	"Bacteria"	0	0	0	0	0	144	0	0
"Myoviridae sp."	"Viruses"	0	0	0	0	198	21060	0	0
"Nasonia vitripennis"	"Arthropods"	0	0	0	0	0	10	0	21
"Naumannella halotolerans"	"Bacteria"	0	4	0	0	0	0	0	0
"Neisseria gonorrhoeae"	"Bacteria"	0	0	0	0	0	0	0	36
"Neisseria meningitidis"	"Bacteria"	0	0	0	0	0	0	0	8
"Neisseria polysaccharea"	"Bacteria"	0	0	0	0	0	0	0	25
"Nicotiana sylvestris"	"Plants"	0	0	0	0	0	0	174	0
"Nitrospirillum amazonense"	"Bacteria"	0	0	0	0	0	0	0	29
"Nomia melanderi"	"Arthropods"	0	197	0	167	38	57	0	0
"Nosema apis"	"Fungi"	0	0	0	0	0	606	0	869
"Nosema bombycis"	"Fungi"	0	0	0	0	0	2	0	2
"Nosema ceranae"	"Fungi"	1596	7589	1390	0	1934	217265	0	305166
"Nylanderia fulva"	"Arthropods"	0	0	0	0	0	23	0	15
"Oblitimonas alkaliphila"	"Bacteria"	0	0	0	0	0	0	0	64
"Olsenella umbonata"	"Bacteria"	0	0	0	0	0	282	0	0
"Ooceraea biroi"	"Arthropods"	0	163	225	0	0	0	0	0
"Orbus hercynius"	"Bacteria"	0	0	958	0	0	0	0	751
"Orthopteran scindoambidensovirus 1"	"Viruses"	272	0	0	0	0	0	84644	0
"Osmia lignaria"	"Arthropods"	0	0	0	0	0	219	2900	0
"Pantoea ananatis"	"Bacteria"	0	0	0	0	0	47	0	0
"Parascardovia denticolens"	"Bacteria"	0	92	85	154	0	907	0	0
"Patellaria atrata"	"Fungi"	0	0	0	40	0	0	0	0
"Paucimonas lemoignei"	"Bacteria"	0	0	0	0	0	0	0	12
"Pectobacterium carotovorum"	"Bacteria"	0	0	0	0	0	0	0	30
"Pectobacterium versatile"	"Bacteria"	0	0	0	0	0	0	0	22
"Pediococcus acidilactici"	"Bacteria"	0	0	0	0	0	0	0	36
"Pediococcus damnosus"	"Bacteria"	0	29	0	0	0	0	0	0
"Phenylobacterium zucineum"	"Bacteria"	0	0	0	0	0	0	0	47
"Photobacterium alginatilyticum"	"Bacteria"	0	0	0	0	0	0	0	15
"Plasmodium ovale"	"Others"	0	0	0	0	0	0	3162	0
"Polistes canadensis"	"Arthropods"	117	23	0	0	0	0	2	0
"Populus euphratica"	"Plants"	0	0	0	0	0	105	0	0
"Proteus mirabilis"	"Bacteria"	0	0	0	0	0	55	0	163
"Proteus vulgaris"	"Bacteria"	0	105	0	0	0	295	0	0
"Providencia rettgeri"	"Bacteria"	0	0	0	0	0	2055	0	4103
"Pseudochrobactrum asaccharolyticum"	"Bacteria"	0	0	0	0	0	0	0	389
"Pseudomonas aeruginosa"	"Bacteria"	0	0	0	0	0	75	0	39
"Pseudomonas amygdali"	"Bacteria"	0	0	0	0	0	0	0	33
"Pseudomonas caeni"	"Bacteria"	0	0	0	0	0	0	0	146
"Pseudomonas chloritidismutans"	"Bacteria"	0	0	0	0	0	0	0	53
"Pseudomonas chlororaphis"	"Bacteria"	0	0	0	0	0	0	0	65
"Pseudomonas fluorescens"	"Bacteria"	0	0	0	0	0	0	0	36
"Pseudomonas mendocina"	"Bacteria"	0	0	0	0	0	0	0	43
"Pseudomonas nitroreducens"	"Bacteria"	0	0	0	0	0	0	0	23
"Pseudomonas putida"	"Bacteria"	0	0	0	0	0	0	0	76
"Pseudomonas syringae"	"Bacteria"	0	0	0	0	0	0	0	34
"Pseudomonas veronii"	"Bacteria"	0	0	0	0	0	0	0	29
"Pseudoscardovia suis"	"Bacteria"	0	0	0	0	0	332	0	0
"Pyrus x bretschneideri"	"Plants"	0	0	0	0	0	380	0	0
"Raphanus sativus"	"Plants"	0	0	0	0	0	208	0	1292
"Rathayibacter toxicus"	"Bacteria"	0	0	0	0	0	10	0	0
"Rhagoletis zephyria"	"Arthropods"	12	0	0	0	0	147	15579	0
"Rhizophagus clarus"	"Fungi"	0	0	0	0	0	4	4	2
"Rhizophagus irregularis"	"Fungi"	0	0	0	0	0	0	4	0
"Rouxiella chamberiensis"	"Bacteria"	0	0	105	0	0	0	0	0
"Ruminococcus bromii"	"Bacteria"	0	0	0	0	0	15	0	0
"Saccharibacter floricola"	"Bacteria"	0	0	0	0	0	0	0	62
"Saezia sanguinis"	"Bacteria"	0	0	0	0	0	0	0	26
"Salmonella enterica"	"Bacteria"	0	52	0	0	0	30	0	12
"Saprochaete ingens"	"Fungi"	0	0	0	234	0	0	0	0
"Schleiferilactobacillus perolens"	"Bacteria"	0	0	0	0	0	0	0	68
"Secundilactobacillus silagei"	"Bacteria"	0	0	0	0	0	91	0	0
"Serratia liquefaciens"	"Bacteria"	0	0	0	0	0	0	0	27
"Serratia plymuthica"	"Bacteria"	0	0	0	0	0	61	0	29
"Sinorhizobium fredii"	"Bacteria"	0	0	0	0	0	75	0	36
"Siphoviridae sp."	"Viruses"	626	0	0	0	146	19578	0	16162
"Snodgrassella alvi"	"Bacteria"	2358	40128	12058	18961	874	727391	2279	710679
"Snodgrassella sp. ESL0324"	"Bacteria"	0	0	0	0	0	0	0	12744
"Solanum lycopersicum"	"Plants"	0	0	0	0	0	471	0	0
"Solenopsis invicta"	"Arthropods"	0	63	76	72	0	0	0	0
"Sporolactobacillus inulinus"	"Bacteria"	0	0	0	0	0	0	0	24
"Staphylococcus aureus"	"Bacteria"	0	0	4	0	0	0	0	0
"Streptococcus agalactiae"	"Bacteria"	0	3	0	0	0	10	23	0
"Streptococcus pneumoniae"	"Bacteria"	0	90	69	0	0	0	436	143
"Streptococcus suis"	"Bacteria"	0	0	0	0	0	0	0	7260
"Streptococcus thermophilus"	"Bacteria"	0	0	0	6	0	0	0	0
"Streptococcus urinalis"	"Bacteria"	0	0	0	0	0	0	0	1
"Streptomyces globisporus"	"Bacteria"	0	0	0	0	0	70	0	0
"Stylonychia lemnae"	"Others"	17	8	0	0	0	33	380	12
"Subdoligranulum variabile"	"Bacteria"	0	0	0	0	0	0	0	607
"Sugiyamaella lignohabitans"	"Fungi"	0	0	0	2	0	0	0	0
