txid	TxPath	TxGroup	KEGG_KO	ReadCount
-2	[no rank] unknown;[no rank] unknown;	Others	K03804	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03816	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03817	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03823	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03831	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03839	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03841	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03924	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03925	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03977	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03978	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03980	4
-2	[no rank] unknown;[no rank] unknown;	Others	K04043	10
-2	[no rank] unknown;[no rank] unknown;	Others	K04044	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04068	4
-2	[no rank] unknown;[no rank] unknown;	Others	K04069	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04072	6
-2	[no rank] unknown;[no rank] unknown;	Others	K04077	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04082	1
-2	[no rank] unknown;[no rank] unknown;	Others	K04092	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04094	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04095	4
-2	[no rank] unknown;[no rank] unknown;	Others	K04096	3
-2	[no rank] unknown;[no rank] unknown;	Others	K04125	12
-2	[no rank] unknown;[no rank] unknown;	Others	K04485	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04487	4
-2	[no rank] unknown;[no rank] unknown;	Others	K04561	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04564	4
-2	[no rank] unknown;[no rank] unknown;	Others	K04567	4
-2	[no rank] unknown;[no rank] unknown;	Others	K04707	3
-2	[no rank] unknown;[no rank] unknown;	Others	K04751	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04755	2
-2	[no rank] unknown;[no rank] unknown;	Others	K04758	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05349	10
-2	[no rank] unknown;[no rank] unknown;	Others	K05350	3
-2	[no rank] unknown;[no rank] unknown;	Others	K05362	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05367	4
-2	[no rank] unknown;[no rank] unknown;	Others	K05372	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05499	4
-2	[no rank] unknown;[no rank] unknown;	Others	K05516	1
-2	[no rank] unknown;[no rank] unknown;	Others	K05520	1
-2	[no rank] unknown;[no rank] unknown;	Others	K05666	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05685	17
-2	[no rank] unknown;[no rank] unknown;	Others	K05765	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05822	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05823	4
-2	[no rank] unknown;[no rank] unknown;	Others	K05837	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05846	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05851	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05879	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05896	2
-2	[no rank] unknown;[no rank] unknown;	Others	K05964	4
