KEGG_KO	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
K06052	11	22	0	0	4	0	0
K06053	1	4	0	0	0	0	0
K06054	0	1	0	0	0	0	0
K06055	0	4	0	0	0	0	0
K06057	2	0	0	0	0	0	0
K06058	2	13	0	0	0	0	0
K06061	0	19	0	0	0	0	0
K06062	58	26	68	10	0	34	0
K06063	4	4	0	0	0	0	0
K06065	2	29	0	0	1	0	0
K06066	2	0	0	0	0	0	0
K06067	350	3	340	40	16	45	0
K06068	4	1	1	0	1	0	0
K06069	0	2	0	0	0	0	0
K06070	1	46	0	0	0	0	0
K06071	10	94	0	0	2	2	0
K06072	386	3	586	8	0	50	4
K06073	1	0	0	0	12	1	0
K06074	0	14	21	7	0	0	0
K06075	413	8	317	6	0	12	0
K06076	1030	50	953	212	60	156	34
K06077	364	16	848	98	42	54	1
K06078	0	0	1	0	0	2	0
K06080	0	0	0	0	4	0	0
K06082	3	4	3	2	0	0	0
K06084	4	0	0	1	0	2	0
K06086	2	5	0	0	0	1	0
K06087	0	3	0	0	0	0	0
K06091	0	3	1	0	2	0	0
K06093	0	4	0	0	0	0	0
K06094	0	1	2	0	0	2	0
K06095	6	12	4	0	0	2	0
K06096	4	0	6	0	0	0	0
K06098	0	9	0	0	0	0	0
K06100	43	5	28	6	0	2	2
K06101	0	3	4	0	0	0	0
K06102	0	1	0	0	0	0	0
K06103	3	4	0	0	0	0	0
K06104	2	12	0	0	0	2	0
K06106	3	0	0	2	0	0	0
K06107	2	16	0	0	0	0	0
K06108	0	2	0	0	0	2	0
K06109	0	0	0	0	0	2	0
K06110	48	22	71	0	0	34	0
K06111	9	0	0	3	0	0	0
K06112	0	2	0	0	0	0	0
K06113	5426	65	12988	1201	54	49	91
K06114	32	14	2	0	0	2	0
K06115	49	94	5	1	2	0	0
K06116	0	16	0	0	9	38	0
K06117	0	16	0	0	9	38	0
K06118	2	4	0	0	0	2	0
K06119	4	0	0	0	0	0	0
K06120	0	0	1	0	0	0	0
K06123	3	0	0	0	0	0	0
K06124	0	0	0	0	1	0	0
K06125	863	6	2175	40	10	65	4
K06126	0	11	0	18	8	14	2
K06127	18	6	4	104	58	117	0
K06128	0	0	4	0	0	13	0
K06129	0	0	0	0	0	4	0
K06130	2	0	4	0	0	13	0
K06131	7993	3268	15545	1033	478	818	191
K06132	1880	8	4487	156	52	83	26
K06133	814	86	1613	227	110	129	15
K06134	26	0	525	34	5	29	0
K06135	0	0	0	2	0	0	0
K06136	611	11	1129	25	8	0	5
K06137	643	26	1259	66	4	2	0
K06138	819	20	1624	65	2	13	4
K06139	946	15	1918	39	2	24	2
K06140	16	12	0	6	0	0	0
K06141	254	0	546	6	10	7	0
K06142	499	23	825	115	51	132	2
K06143	18	2	237	2	12	12	0
K06145	1797	20	3150	156	70	78	30
K06146	20	0	122	10	0	0	0
K06147	81520	7019	175241	17871	6706	16196	1377
K06148	31958	2209	67521	6772	2402	6425	755
K06149	360	4	988	76	39	52	13
K06151	2304	22	8662	189	99	58	14
K06152	898	20	3011	70	22	37	4
K06153	2705	374	4928	755	493	1204	64
K06155	1203	27	2062	418	111	825	24
K06156	10	3	0	8	10	6	0
K06157	16	15	8	4	0	0	6
K06158	13384	1247	27286	3156	1309	3107	214
K06159	4	28	0	4	20	28	0
K06160	6	34	0	4	20	28	0
K06161	0	4	0	0	0	0	0
K06162	12	4	2	0	12	22	0
K06163	6	0	0	4	2	16	0
K06164	12	0	0	6	0	6	0
K06165	0	4	0	4	0	12	0
K06166	0	9	0	0	0	0	0
K06167	2620	53	4418	179	46	162	36
K06168	6945	283	16264	740	253	307	135
K06169	38	0	8	0	0	6	0
K06171	0	13	2	0	0	0	0
K06172	1	0	0	0	0	0	0
K06173	7268	2354	15214	1949	701	1740	139
K06174	142	0	278	54	0	125	0
K06175	594	89	1114	425	199	226	16
K06176	802	18	2101	320	151	272	24
K06177	4976	2024	9717	1128	430	1040	80
K06178	7125	2018	13302	1660	649	1645	88
K06179	2362	85	5587	472	335	402	67
K06180	13105	6792	25179	2611	1013	2543	229
K06181	736	22	1751	333	143	166	27
K06182	648	15	569	62	48	81	19
K06183	2602	317	4800	1071	535	1458	43
K06184	0	6	0	4	0	2	0
K06185	6	12	0	28	6	63	2
K06186	425	19	836	92	133	40	4
K06187	5335	2121	10823	1492	766	1355	123
K06188	1944	1047	4534	439	180	357	36
K06189	2412	66	4647	340	132	258	32
K06190	911	48	2198	88	39	32	4
K06191	1008	503	2253	370	101	435	2
K06192	1867	65	3726	513	314	482	43
K06193	449	34	762	142	53	70	18
K06194	1929	41	3665	450	172	240	13
K06195	14	4	88	12	0	12	0
K06196	516	66	1215	24	2	0	0
K06197	297	0	731	74	14	43	12
K06198	1559	927	2990	166	10	170	38
K06199	2448	1119	4577	594	193	406	41
K06200	4036	252	10059	922	476	377	54
K06201	1551	43	2933	349	19	101	23
K06202	239	8	400	118	28	52	4
K06203	1193	17	2597	131	79	57	4
K06204	1438	61	3398	267	202	309	42
K06205	4	0	0	0	0	6	0
K06206	42	0	429	18	0	8	10
K06207	14733	4253	28419	4015	1706	3681	322
K06209	0	126	0	0	0	0	0
K06210	1	3	6	8	8	11	0
K06211	1308	13	2504	173	120	183	46
K06212	622	37	1170	136	119	94	30
K06213	4030	2313	8037	460	149	324	91
K06214	0	4	0	0	8	0	0
K06215	1752	284	4554	650	285	392	40
K06216	12	576	1	148	40	125	8
K06217	7249	1802	15015	1717	592	1621	127
K06218	21	193	21	0	0	0	8
K06219	541	4	1610	146	156	119	20
K06221	4300	1062	7462	323	79	181	124
K06222	19	2	38	0	6	22	0
K06223	1277	415	3252	289	182	276	26
K06225	8	1	1	0	0	0	0
K06226	0	0	0	1	0	0	0
K06228	73	2	11	6	0	0	4
K06229	0	8	0	0	0	0	0
K06230	2	2	3	0	0	0	0
K06233	13	25	0	0	1	0	3
K06234	0	4	0	0	0	0	0
K06235	0	1	9	2	0	0	0
K06236	64	34	90	2	0	0	0
K06237	13	20	0	0	0	1	0
K06238	5	300	0	0	0	0	0
K06240	39	32	10	1	0	0	0
K06243	2	83	0	0	0	6	0
K06244	1	0	0	0	0	0	0
K06246	0	16	0	0	0	0	0
K06247	8	14	0	0	1	0	0
K06248	4	0	0	0	0	0	0
K06251	0	0	1	0	0	0	0
K06254	2	0	3	0	0	3	0
K06255	7	16	7	0	2	0	0
K06256	0	1	0	0	0	0	0
K06258	1	1	1	2	0	0	2
K06259	2	0	2	10	0	0	0
K06260	0	8	3	0	0	0	0
K06261	0	3	0	0	0	0	0
K06262	0	0	0	0	0	2	0
K06264	0	23	0	3	0	0	0
K06265	0	8	2	0	0	0	0
K06268	23	8	21	22	0	8	0
K06269	186	26	160	27	15	171	0
K06270	0	8	1	0	0	0	0
K06271	28	17	11	0	0	1	1
K06272	0	10	0	0	0	0	0
K06275	8	0	0	0	0	0	0
K06276	4	4	0	34	9	53	0
K06277	1	4	0	0	1	0	0
K06279	0	18	0	0	0	0	0
K06281	32	36	0	0	0	0	0
K06282	8	12	0	0	4	0	0
K06286	2825	1346	5462	275	33	177	87
K06287	6381	429	11786	1986	848	2281	100
K06294	0	9	0	0	0	0	0
K06295	0	0	0	0	0	12	0
K06296	0	6	0	0	0	0	0
K06301	0	12	0	2	0	0	0
K06306	20	0	0	4	2	0	0
K06314	4	0	0	0	0	0	0
K06316	8	0	3	10	7	25	0
K06320	260	41	143	6	0	0	0
K06324	0	0	1	0	0	0	0
K06338	0	4	0	0	0	8	0
K06346	3071	590	5110	858	343	960	58
K06350	0	68	0	0	0	0	0
K06351	0	43	0	0	0	0	0
K06373	10	0	16	0	0	0	5
K06374	0	0	474	0	4	2	1
K06378	4	0	0	0	0	0	0
K06381	0	16	0	0	0	0	0
K06384	400	0	610	22	4	46	2
K06385	767	88	893	2326	788	803	18
K06386	71	0	12	2	6	4	0
K06390	0	1	0	0	0	0	0
K06398	0	0	0	22	4	16	0
K06399	0	0	4	0	0	0	0
K06400	2595	94	4988	322	89	261	66
K06402	2	0	0	0	0	0	0
K06409	0	32	0	0	0	0	0
K06410	2	0	0	0	0	0	0
K06412	6	16	0	0	0	0	0
K06413	4	0	34	0	0	0	0
K06415	0	0	0	0	9	4	0
K06421	0	5	0	0	0	0	0
K06442	5195	2040	10220	1071	381	1012	89
K06443	0	12	0	0	0	28	0
K06444	0	0	0	0	0	2	0
K06445	30	10	0	15	26	49	0
K06446	63	24	1	8	0	0	0
K06447	46	36	0	0	8	6	8
K06448	0	9	0	0	0	8	0
K06454	0	8	0	0	0	0	0
K06460	0	1	0	0	0	0	0
K06461	0	57	0	0	0	0	0
K06462	0	57	0	0	0	0	0
K06464	0	0	1	0	0	0	0
K06468	0	4	0	0	0	0	0
K06469	0	8	0	0	0	0	0
K06473	0	12	0	0	0	0	0
K06480	28	0	56	0	0	0	0
K06482	2	4	0	0	0	0	0
K06483	0	1	0	0	0	0	0
K06484	7	27	3	0	0	0	0
K06485	2	4	0	0	0	0	0
K06487	7	27	3	0	0	0	0
K06489	0	1	0	0	0	0	0
K06490	0	4	0	0	0	0	0
K06491	11	80	16	4	8	5	5
K06493	0	0	1	0	0	0	0
K06497	0	5	0	0	0	0	0
K06499	0	16	0	0	0	0	0
K06503	0	48	0	0	0	0	0
K06508	0	4	0	0	0	0	0
K06512	0	20	0	0	0	0	0
K06515	29	784	2	548	347	322	11
K06518	540	0	1013	44	20	20	6
K06521	0	4	0	0	0	0	0
K06522	0	4	0	0	0	0	0
K06524	0	0	0	0	0	1	0
K06525	0	4	0	0	0	0	0
K06526	0	9	0	0	0	0	0
K06529	0	8	0	0	0	0	0
K06530	5	161	0	0	0	0	0
K06531	0	24	0	0	0	0	0
K06537	0	0	0	12	0	0	0
K06539	0	24	0	0	0	0	0
K06542	0	5	0	0	0	0	0
K06549	0	12	0	0	0	0	0
K06550	2	14	0	0	0	0	0
K06551	0	8	0	0	0	0	0
K06553	0	14	0	0	0	0	0
K06554	0	18	0	0	0	0	0
K06555	0	4	0	0	0	0	0
K06559	0	2	0	0	0	0	0
K06560	0	8	0	0	0	0	0
K06563	2	3	0	0	0	0	0
K06564	4	7	0	0	0	0	0
K06565	0	6	0	0	0	0	0
K06566	0	2	0	0	0	0	0
K06568	2	11	0	0	0	0	0
K06569	0	6	2	0	0	0	0
K06571	0	4	0	0	0	0	0
K06577	0	1	0	0	0	0	0
K06579	0	6	0	0	0	0	0
K06580	0	19	2	0	0	0	0
K06583	2	4	0	0	0	0	0
K06584	7	27	3	0	0	0	0
K06585	0	1	0	0	0	0	0
K06587	0	1	0	0	0	0	0
K06594	0	57	0	0	0	0	0
K06596	170	38	2323	31	15	34	0
K06597	4	0	0	0	2	0	0
K06598	14	12	32	0	0	0	0
K06601	301	8	632	2	4	0	0
K06602	225	4	403	8	0	0	0
